0:0:0:0:2a0f:30c0:beef::,0::1:0:2a0f:30c0:ffed:ffff,GB
2001:200::,2001:218:6001:ffff:ffff:ffff:ffff:ffff,AU
2001:218:6002::,2001:218:6002:ffff:ffff:ffff:ffff:ffff,HK
2001:218:6003::,2001:22f:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:230::,2001:230:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:231::,2001:23f:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:240::,2001:240:100:ffff:ffff:ffff:ffff:ffff,JP
2001:240:101::,2001:240:10d:ffff:ffff:ffff:ffff:ffff,AU
2001:240:10e::,2001:240:10e:ffff:ffff:ffff:ffff:ffff,JP
2001:240:10f::,2001:240:112:ffff:ffff:ffff:ffff:ffff,AU
2001:240:113::,2001:240:113:ffff:ffff:ffff:ffff:ffff,JP
2001:240:114::,2001:240:133:ffff:ffff:ffff:ffff:ffff,AU
2001:240:134::,2001:240:134:ffff:ffff:ffff:ffff:ffff,JP
2001:240:135::,2001:240:161:ffff:ffff:ffff:ffff:ffff,AU
2001:240:162::,2001:240:162:ffff:ffff:ffff:ffff:ffff,JP
2001:240:163::,2001:240:168:ffff:ffff:ffff:ffff:ffff,AU
2001:240:169::,2001:240:169:ffff:ffff:ffff:ffff:ffff,JP
2001:240:16a::,2001:240:18e:ffff:ffff:ffff:ffff:ffff,AU
2001:240:18f::,2001:240:18f:ffff:ffff:ffff:ffff:ffff,JP
2001:240:190::,2001:240:1a7:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1a8::,2001:240:1a9:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1aa::,2001:240:1b7:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1b8::,2001:240:1b8:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1b9::,2001:240:1db:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1dc::,2001:240:1e2:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1e3::,2001:240:1f0:6:ffff:ffff:ffff:ffff,AU
2001:240:1f0:7::,2001:240:1f0:7:ffff:ffff:ffff:ffff,JP
2001:240:1f0:8::,2001:240:1f0:10:ffff:ffff:ffff:ffff,AU
2001:240:1f0:11::,2001:240:1f0:11:ffff:ffff:ffff:ffff,JP
2001:240:1f0:12::,2001:240:1f0:14:ffff:ffff:ffff:ffff,AU
2001:240:1f0:15::,2001:240:1f0:15:ffff:ffff:ffff:ffff,JP
2001:240:1f0:16::,2001:240:1f0:1f:ffff:ffff:ffff:ffff,AU
2001:240:1f0:20::,2001:240:1f0:23:ffff:ffff:ffff:ffff,JP
2001:240:1f0:24::,2001:240:1f0:35:ffff:ffff:ffff:ffff,AU
2001:240:1f0:36::,2001:240:1f0:36:ffff:ffff:ffff:ffff,JP
2001:240:1f0:37::,2001:240:1f0:62:ffff:ffff:ffff:ffff,AU
2001:240:1f0:63::,2001:240:1f0:63:ffff:ffff:ffff:ffff,JP
2001:240:1f0:64::,2001:240:1f0:ad:ffff:ffff:ffff:ffff,AU
2001:240:1f0:ae::,2001:240:1f0:ae:ffff:ffff:ffff:ffff,JP
2001:240:1f0:af::,2001:240:1f1::ffff:ffff:ffff:ffff,AU
2001:240:1f1:1::,2001:240:1f1:1:ffff:ffff:ffff:ffff,JP
2001:240:1f1:2::,2001:240:1f1:11:ffff:ffff:ffff:ffff,AU
2001:240:1f1:12::,2001:240:1f1:12:ffff:ffff:ffff:ffff,JP
2001:240:1f1:13::,2001:240:1f1:15:ffff:ffff:ffff:ffff,AU
2001:240:1f1:16::,2001:240:1f1:17:ffff:ffff:ffff:ffff,JP
2001:240:1f1:18::,2001:240:1f1:19:ffff:ffff:ffff:ffff,AU
2001:240:1f1:1a::,2001:240:1f1:1a:ffff:ffff:ffff:ffff,JP
2001:240:1f1:1b::,2001:240:1f1:1b:ffff:ffff:ffff:ffff,AU
2001:240:1f1:1c::,2001:240:1f1:1d:ffff:ffff:ffff:ffff,JP
2001:240:1f1:1e::,2001:240:1f1:22:ffff:ffff:ffff:ffff,AU
2001:240:1f1:23::,2001:240:1f1:24:ffff:ffff:ffff:ffff,JP
